,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
2723,2723,missing,missing,secondary,missing,4.0,52.065,25.0,False,missing,,East Broadway,5673424,,,
2724,2724,missing,missing,residential,missing,4.0,78.25999999999999,25.0,True,missing,"LINESTRING (584976.4060702384 4507467.77029248, 584976.758539875 4507462.811686173, 584977.5544130458 4507458.968370046, 584978.587991773 4507455.760597207, 585004.6838135782 4507395.242198322)",Forsyth Street,5671928,,alley,
2725,2725,missing,missing,residential,missing,4.0,61.367999999999995,25.0,True,missing,"LINESTRING (584976.4060702384 4507467.77029248, 584978.1345950919 4507471.742443793, 584978.9893742541 4507475.293808711, 584979.2095118091 4507478.937822944, 584975.4577780934 4507528.432470807)",Eldridge Street,127691870,,,
2726,2726,missing,missing,secondary,missing,4.0,82.138,25.0,False,missing,,East Broadway,5673424,,,
2727,2727,missing,missing,secondary,missing,4.0,19.146,25.0,False,missing,,East Broadway,452339695,,,
2728,2728,missing,missing,secondary,missing,4.0,193.743,25.0,False,missing,,East Broadway,46154289,,,
2729,2729,missing,missing,primary,missing,4.0,58.369,25.0,True,missing,"LINESTRING (585098.7451527553 4507482.595099664, 585097.017121168 4507494.787605524, 585090.5901449928 4507540.299176182)",Pike Street,"[224671408, 420357267]",,,
2730,2730,missing,missing,secondary,missing,4.0,21.680999999999997,25.0,False,missing,"LINESTRING (585098.7451527553 4507482.595099664, 585092.755568249 4507481.871370121, 585088.3603561247 4507481.343566091, 585083.2735393539 4507480.719015707, 585077.1742734251 4507479.982938773)",East Broadway,525698215,,,
2731,2731,missing,missing,residential,missing,4.0,75.392,25.0,True,missing,,Jefferson Street,5672528,,,
2732,2732,missing,missing,secondary,missing,4.0,128.636,25.0,False,missing,"LINESTRING (585419.2658136539 4507521.028414727, 585532.2065263828 4507535.385833867, 585547.1538663103 4507537.2901206)",East Broadway,560788342,,,
2733,2733,missing,missing,secondary,missing,4.0,128.373,25.0,False,missing,"LINESTRING (585419.2658136539 4507521.028414727, 585343.6090952947 4507511.409180034, 585291.6387204886 4507504.805234811)",East Broadway,560788342,,,
2734,2734,missing,missing,residential,missing,4.0,189.03200000000004,25.0,False,missing,"LINESTRING (585547.1538663103 4507537.2901206, 585548.6071324419 4507554.848253787, 585547.5909449715 4507568.980656342, 585547.6702205627 4507591.407885756, 585550.502264522 4507616.864438676, 585552.718005801 4507629.102342928, 585554.878970028 4507640.229402765, 585561.1919193804 4507664.171810527, 585566.662792882 4507680.555057929, 585574.3795879872 4507699.961796682, 585582.3424253501 4507720.736947014)",Clinton Street,39662323,,,
2735,2735,missing,missing,secondary,missing,4.0,155.978,25.0,False,missing,"LINESTRING (585547.1538663103 4507537.2901206, 585622.0832056002 4507546.214716956, 585702.3778459853 4507555.76826595)",East Broadway,39956203,,,
2736,2736,missing,missing,secondary,missing,4.0,128.636,25.0,False,missing,"LINESTRING (585547.1538663103 4507537.2901206, 585532.2065263828 4507535.385833867, 585419.2658136539 4507521.028414727)",East Broadway,560788342,,,
2737,2737,missing,missing,residential,missing,4.0,76.281,25.0,True,missing,,Montgomery Street,5670711,,,
2738,2738,missing,missing,secondary,missing,4.0,53.88,25.0,False,missing,,East Broadway,39956203,,,
2739,2739,missing,missing,secondary,missing,4.0,155.978,25.0,False,missing,"LINESTRING (585702.3778459853 4507555.76826595, 585622.0832056002 4507546.214716956, 585547.1538663103 4507537.2901206)",East Broadway,39956203,,,
2740,2740,missing,missing,secondary,missing,4.0,87.214,25.0,False,missing,,Samuel Dickstein Plaza,5670574,,,
2741,2741,missing,missing,secondary,missing,4.0,53.88,25.0,False,missing,,East Broadway,39956203,,,
2742,2742,missing,missing,secondary,missing,4.0,85.181,25.0,False,missing,"LINESTRING (585755.9974723196 4507562.149925415, 585744.5281529445 4507538.536315355, 585731.0743807415 4507498.768379567, 585727.8356791809 4507482.233169679)",Samuel Dickstein Plaza,5670574,,,
2743,2743,missing,missing,secondary,missing,4.0,124.72300000000001,25.0,False,missing,"LINESTRING (585755.9974723196 4507562.149925415, 585792.5170828089 4507566.502340737, 585880.1168978733 4507576.930565123)",East Broadway,39956203,,,
