,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
1115,,,"LINESTRING (589373.8145290758 4521661.606732134, 589295.2112565102 4521704.344431548, 589270.6823983144 4521717.681812927, 589168.5789042164 4521773.193382104)",tertiary,,,233.29899999999998,,West 168th Street,False,541442320,,,,
1116,,,,residential,,,13.998,,West 169th Street,True,5671494,,,,
1117,,,,secondary,,,75.869,,Saint Nicholas Avenue,True,441637777,,,,
1118,,,"LINESTRING (589422.6023859713 4521722.051147878, 589422.1279841594 4521729.894906221, 589420.4877785442 4521735.137654644, 589421.9111528669 4521767.996232532)",primary,,,46.313,,Broadway,True,44164412,,,,
1119,,,,primary,,,39.666,,Broadway,False,242514167,,,,
1120,,,,primary,,,87.756,,Broadway,False,560349614,,,,
1121,,,"LINESTRING (589423.1350252064 4521807.580543019, 589228.4862488339 4521910.611478512, 589220.7372091967 4521916.935122358)",residential,,,229.93,,West 170th Street,True,242514169,,,,
1122,,,,residential,,,189.097,,West 171st Street,True,5670318,,,,
1123,,,,primary,,,80.965,,Broadway,False,560349614,,,,
1124,,,,primary,,,87.756,,Broadway,False,560349614,,,,
1125,,,,residential,,,100.51,,West 172nd Street,True,5673414,,,,
1126,,,,primary,,,80.965,,Broadway,False,560349614,,,,
1127,,,"LINESTRING (589440.5000265586 4521974.995288078, 589447.9315516772 4522020.650189677, 589452.9590246335 4522058.037884589)",primary,,,84.107,,Broadway,False,560349614,,,,
1128,,,,primary,,,84.138,,Broadway,False,560349614,,,,
1129,,,"LINESTRING (589452.9590246335 4522058.037884589, 589441.8545812295 4522062.943935829, 589312.7216183617 4522131.8821603)",residential,,,158.305,,West 173rd Street,True,5669813,,,,
1130,,,"LINESTRING (589452.9590246335 4522058.037884589, 589447.9315516772 4522020.650189677, 589440.5000265586 4521974.995288078)",primary,,,84.107,,Broadway,False,560349614,,,,
1131,,,,primary,,,86.758,,Broadway,False,560349614,,,,
1132,,,,primary,,,84.138,,Broadway,False,560349614,,,,
1133,,,"LINESTRING (589467.7995329913 4522140.731888602, 589479.3371280932 4522138.340305803, 589502.9950184443 4522126.525233257)",residential,,,38.164,,West 174th Street,True,5672503,,,,
1134,,,,residential,,,140.193,,West 175th Street,True,5671406,,,,
1135,,,,primary,,,84.522,,Broadway,False,560349614,,,,
1136,,,,primary,,,86.758,,Broadway,False,560349614,,,,
1137,,,,residential,,,84.3,,West 176th Street,True,5670495,,,,
1138,,,,primary,,,71.221,,Broadway,False,560349614,,,,
1139,,,,primary,,,84.522,,Broadway,False,560349614,,,,
1140,,,,residential,,,128.975,,West 177th Street,True,5673446,,,,
1141,,,,primary,,,17.77,,Broadway,False,440122881,,,,
1142,,,,primary,,,71.221,,Broadway,False,560349614,,,,
1143,,,,primary,,,79.296,,Broadway,False,440122880,,,,
1144,,,,primary,,,17.77,,Broadway,False,440122881,,,,
1145,,,,secondary,,,122.533,,West 178th Street,True,5671998,,,,
1146,,,,primary,,,79.296,,Broadway,False,440122880,,,,
1147,,yes,"LINESTRING (589547.1804470427 4522470.174608444, 589551.7186538143 4522475.536677927, 589597.4504888287 4522529.483757984, 589602.1133134494 4522534.991706708)",primary,,4,84.95899999999999,,Broadway,False,"[44763889, 46591067, 46591086]",US 9,,,
1148,,,,primary,,4,82.886,,Broadway,False,44763886,US 9,,,
1149,,,,secondary,,2,166.178,,West 179th Street,True,44763888,US 9,,,
